rank,personName,age,finalWorth,year,month,category,source,country,state,city,countryOfCitizenship,organization,selfMade,gender,birthDate,title,philanthropyScore,residenceMsa,numberOfSiblings,bio,about
1341,Kommer Damen,78.0,2300.0,2022,4,Manufacturing,shipbuilding,Netherlands,,Gorinchem,Netherlands,,False,M,1944-03-30,,,,,"Kommer Damen's father and uncle started building boats in a shed next to the family home in the Dutch town of Hardinxveld-Giessendam in 1922. 
Five years later, they founded Damen Shipyards in 1927. 
He bought the shipyard from his father in 1969 and brought the modular shipbuilding concept to the construction of small boats and launches.
Damen Group is now one of Europe's largest family-owned shipbuilders, generating $2.4 billion in sales worldwide in 2020. 
Known for naval security and patrol vessels that range from 23 feet to over 650 feet, Damen's fleet also includes ferries, yachts and cruise liners.","Damen Shipyards worked with four other companies to develop the world's first 3D printed ship propeller, the WAAMpeller; it was unveiled in late 2017. 
The Royal Netherlands Navy (RNLN) has been its customer for several generations of Damen combatants."
1929,Naomi Azrieli,56.0,1500.0,2022,4,Real Estate,Real estate,Canada,,Toronto,Canada,,False,F,1965-09-26,,,,,"Naomi Azrieli is an heir to the Azrieli Group real estate fortune.
She and her two sisters, Danna and Sharon Azrieli, own about 46% of the publicly traded company.
She sits on the board and inherited her stake after her father, David Azrieli, died in 2014.
Noami also chairs the family's Azrieli Foundation, which supports a number of causes, including science, music and Holocaust education.",
2190,Sehat Sutardja,60.0,1300.0,2022,4,Technology,semiconductors,United States,Nevada,Las Vegas,United States,,True,M,1961-07-09,,,"Las Vegas, NV",,"Sehat Sutardha cofounded semiconductor company Marvell Technology with his wife, Weili Dai, in 1995.
He was CEO of the company until he and Dai were forced out in 2016 amid an internal accounting investigation.
No evidence of fraud was found in the Marvell accounting investigation.
The couple moved to Las Vegas in 2017 and have been investing in real estate and technology.",
2076,Jim Crane,68.0,1400.0,2022,4,Sports,"logistics, baseball",United States,Texas,Houston,United States,,True,M,1954-01-17,,,"Houston, TX",,"Jim Crane led an investment group that paid $615 million in 2011 for MLB's Houston Astros and a minority stake in a regional sports network.
The value of the team has quadrupled since Crane's acquisition. Crane owns an estimated 40% stake.
Crane pocketed more than $300 million when he sold his freight logistics firm Eagle Global Logistics to Apollo Global Management in 2007.
Crane launched another logistics business, Crane Worldwide, in 2008; annual revenue is more than $900 million.
Crane owns the Floridian National Golf Club, whose members include former presidents Barack Obama and George Bush.",
1729,Edward Stack,67.0,1700.0,2022,4,Fashion & Retail,Dick's Sporting Goods,United States,Pennsylvania,Sewickley,United States,Dick's Sporting Goods,True,M,1954-12-27,Entrepreneur,,"Pittsburgh, PA",,"Ed Stack is the executive chairman and largest individual shareholder of Dick's Sporting Goods. 
His father, Dick Stack, founded the retailer in 1948 with a $300 loan from his grandmother. 
Ed and his siblings bought the company from his father when it only had two stores in upstate New York.
When his father retired in 1984, Ed took over as CEO and chairman; he stepped down as CEO in February 2021.
He took the company public in 2002. Dick's Sporting Goods had $9.4 billion in revenue in 2020 and 728 locations around the U.S.","In 2019, Stack announced that Dick's Sporting Goods has eliminated the hunting category, including firearms, from 125 stores. "
2076,Gary Magness,68.0,1400.0,2022,4,Media & Entertainment,"cable TV, investments",United States,Colorado,Denver,United States,,False,M,1954-02-26,,,"Denver, CO",,"Gary Magness's late father, Bob, started cable giant TCI, then merged with AT&T in 1999 in a $48 billion deal.
He inherited half of the fortune (his late brother, Kim, got the rest) and now focuses on off-road racing, movie producing and philanthropy.
He collects vintage cars, owns cattle ranches in Colorado, a data center, fish and palm tree farms and invests in oil, gas and real estate.
His wife, Sarah Siegel-Magness, runs the couple's film company, Smokewood Entertainment, which produced the Oscar winning ""Precious.""
",
2324,Mika Anttonen,55.0,1200.0,2022,4,Energy,oil & gas,Finland,,Helsinki,Finland,,True,M,1966-12-18,,,,,"Mika Anttonen heads and owns a majority stake in the nearly $8 billion (sales) Scandinavian fuel distributor St1 Group.
Anttonen uses profits to finance projects he hopes will combat climate change and eventually replace oil, such as developing bioethanol from trash.
He got his start as an oil trader working for Finland-based oil refiner and marketer, Neste Oyj, in the early 1990s.
He founded his own company, Greenergy Baltic, in 1995. He renamed it St1 in 2005.","Anttonen plays hockey in his spare time and is a fan of the New York Rangers. 

St1 is running a pilot program in Finland in which it drills four miles beneath the surface to extract heat, which can then be turned into energy."
1513,Glenn Dubin,64.0,2000.0,2022,4,Finance & Investments,hedge funds,United States,New York,New York,United States,Highbridge Capital Management,True,M,1957-04-13,Co-Founder,4.0,"New York, NY",,"Glenn Dubin is the founder of Engineer's Gate, a quantitative trading hedge fund, comprised of 76 employees including 25 PhDs.
Dubin's fortune comes from Highbridge Capital, which he cofounded in 1992 and then sold to JP Morgan Chase in 2004.
He is chairman of Castleton Commodities, an energy firm he bought with an investor group that included Paul Tudor Jones in 2012.","Dubin is a founding board member of the Robin Hood Foundation, a New York poverty-fighting group.
Dubin and his wife, Eva, an MD and breast cancer survivor, donated millions to found the Dubin Breast Center at Mount Sinai Medical Center, which opened in 2011."
103,David Tepper,64.0,16700.0,2022,4,Finance & Investments,hedge funds,United States,Florida,Palm Beach,United States,Appaloosa Management,True,M,1957-09-11,President and Founder,2.0,,,"David Tepper, arguably the greatest hedge fund manager of his generation, has been steadily returning money to client investors in recent years. 
Tepper's Appaloosa Management hedge fund firm now manages nearly $13 billion, down from a peak of $20 billion.
He decided to move from New Jersey to Florida in 2016 and relocated his hedge fund firm there, but moved back to New Jersey in late 2020.
In 2018, Tepper bought the Carolina Panthers professional football team in a $2.3 billion deal. 
Once the head of the junk bond desk at Goldman Sachs, he left after being passed over for partner and founded Appaloosa Management in 1993.","Tepper gifted $67 million to Carnegie Mellon University, sponsoring the David Tepper Quadrangle, a building aiming to create a collaborative learning environment.
Tepper, who grew up in Pittsburgh, went to Carnegie Mellon University and is a minority investor in the Pittsburgh Steelers. "
336,Zhou Qunfei & family,52.0,7100.0,2022,4,Technology,smartphone screens,Hong Kong,,Hong Kong,Hong Kong,Lens Technology,True,F,,Founder and CEO,,,,"Zhou Qunfei chairs Lens Technology, a smartphone screen supplier whose customers include Samsung, LG, Microsoft and Nokia.
A migrant factory worker as a teenager, Zhou has gone on to become one of the world's richest self-made women.
Her consumer electronics supplier also laminates display panels for Tesla.
Zhou first took the plunge as an entrepreneur in 1993 when she set up a watch parts company with relatives in an apartment in Shenzhen.
Lens Technology went public on the Shenzhen Stock Exchange in March 2015, 22 years after she founded the company. ","Growing up she helped her family raise pigs and ducks for food and additional money.
Ms. Zhou dropped out of school at 16 and traveled south to Guangdong province to live with her uncle's family and search for better work. "
913,Patrice Motsepe,60.0,3300.0,2022,4,Metals & Mining,mining,South Africa,,Johannesburg,South Africa,,True,M,1962-01-28,,,,,"Patrice Motsepe, the founder and chairman of African Rainbow Minerals, became a billionaire in 2008 - the first black African on the Forbes list. 
 In 2016, he launched a private equity firm, African Rainbow Capital, focused on investing in Africa. 
Motsepe also has a stake in Sanlam, a listed financial services firm, and is the president and owner of the Mamelodi Sundowns Football Club.
In March 2021, Motsepe was elected president of the Confederation of African Football, the sport's governing body on the continent.
In 1994, he became the first black partner at law firm Bowman Gilfillan in Johannesburg, and then started a mining services contracting business.
In 1997, he bought low-producing gold mine shafts and later turned them profitable. ","In 2013, the mining magnate was the first African to sign Bill Gates' and Warren Buffett's Giving Pledge, promising to give at least half his fortune to charity.
Motsepe benefited from South Africa's Black Economic Empowerment (BEE) laws, mandating that companies be at least 26% black-owned to get a government mining license."
2578,Zhang Yuqiang,66.0,1000.0,2022,4,Manufacturing,Fiberglass,China,,Tongxiang,China,,True,M,1955-09-01,,,,,"Zhang Yuqiang chairs Zhenshi Holding Group, a conglomerate headquartered in Zhejiang province.
Zhenshi's business includes fiberglass products for wind energy, special steel, new composite materials, logistics, minerals, tourism and real estate.
Zhenshi set up Zhenshi--Henshi USA Wind Power Materials Corporations in South Carolina in 2016.",
851,Apoorva Mehta,35.0,3500.0,2022,4,Technology,grocery delivery service,United States,California,San Francisco,Canada,Instacart,True,M,1986-07-19,Founder,,,,"Apoorva Mehta is the executive chairman and founder of Instacart, a San Francisco-based grocery delivery firm valued by investors at $39 billion.
Born in India, Apoorva lived in Libya before moving to Canada, where he eventually studied engineering at the University of Waterloo.
He worked as an engineer at Blackberry, Qualcomm and Amazon before leaving his job to be an entrepreneur in 2010.
He came up with ideas for around 20 products (none worked out) before starting Instacart in 2012.
With Instacart, customers order groceries online from brick and mortar stores, then they are packed and delivered by an Instacart shopper.","Before founding Instacart, Mehta tried to create a product focused on social networking for lawyers.
In Instacart's early days, orders often came in without a shopper available, so Mehta, who did not own a car, made the deliveries himself via Uber.
"
144,Harry Triguboff,89.0,12800.0,2022,4,Real Estate,real estate,Australia,,Sydney,Australia,,True,M,1933-03-03,,,,,"Triguboff is one of Australia's richest people. Born in China to Russian parents, he came to Australia as a teenager.
Triguboff found success in business by providing higher-density living options in Sydney, Australia's largest city, which has traditionally been dominated by free-standing homes.
His apartment-tower development company, Meriton, has a strong presence in Sydney, while it also has an imprint in southeast Queensland.
He was one of Australia's first developers to see the potential of apartment living when most of his countrymen aspired to single-family homes.
Nicknamed ""High Rise Harry"", he has put up more than 75,000 apartments. The buoyant Sydney market continues to drive up his fortune.","He began his working life in the textile business, making his move into real estate in the early 1960s. 
He built his first apartment block in the Sydney suburb of Gladesville. 
Triguboff established a center in Israel that focuses on immigrants and Judaism."
1292,Sarah MacMillan,68.0,2400.0,2022,4,Food & Beverage,Cargill,United States,California,Los Angeles,United States,,False,F,1954-01-01,,,"Los Angeles-Long Beach-Santa Ana, CA",,"Sarah MacMillan owns an estimated 3% stake in Cargill, the largest food company in the world. 
She is one of four billionaire sisters who inherited stakes in the company from their father W. Duncan MacMillan, who died in 2006.
Her great-great-grandfather, W.W. Cargill, founded the business as a single grain warehouse on the end of an Iowa railroad line in 1865.
The family still owns roughly 90% of Cargill, which did $114.6 billion in 2020 sales across food, agriculture, financial and industrial divisions.",
913,An Kang,73.0,3300.0,2022,4,Healthcare,pharmaceuticals,China,,Xinxiang,China,,True,M,1949-01-01,,,,,"An Kang, a former doctor, is the chairman and largest shareholder of Hualan Biological Engineering, a producer of vaccines and blood products. 

An won a national science award at age 29. 


An's hobby: Reading.",
2190,Koon Poh Ming,65.0,1300.0,2022,4,Metals & Mining,aluminum,Malaysia,,Bintulu,Malaysia,,True,M,1956-11-17,,,,,"Koon Poh Ming is the executive vice chairman of aluminum company Press Metal while his brother Koon Poh Keong is group CEO. 
They started Press Metal with their three brothers--Poh Tat, Poh Weng and Poh Kong--in the mid-1980s. 
The brothers pooled $50,000 to start the aluminum-extruding company, at a time when Malaysia was in a recession. 
Press Metal is Southeast Asia's largest integrated aluminum producer and competes with Rio Tinto, Russia's RUSAL and the Aluminum Corp of China.
Poh Ming and Poh Keong, the two biggest shareholders, made the list of Malaysia's richest for the first time in 2017. Poh Weng joined them in 2019.","Poh Ming launched the company with his brothers by renting a factory in Puchong, Selangor, on the west coast of peninsular Malaysia. "
1645,Nicola Leibinger-Kammueller,62.0,1800.0,2022,4,Manufacturing,manufacturing,Germany,,Berlin,Germany,,False,F,1959-12-15,,,,,"Nicola Leibinger-Kammueller owns 29.4% of the world's largest manufacturer of machine tools, TRUMPF, and serves as CEO.
The company traces its roots to 1923 when Christian Trumpf acquired a machine shop in Stuttgart.
Nicola's father, Berthold Leibinger, joined the company in 1961 and developed the first contour ""nibbling"" machine tool with numerical control.
Christian Trumpf, who had no children, chose Berthold as his successor and handed over control of the company to him in 1972.
After retiring from management in 2005, Berthold passed the company's ownership to his three children.","Nicola, in addition to being active in various scientific, cultural and social institutions, is a board member at Siemens AG and Axel Springer SE. 
Her brother, Peter, and sister, Regine, also each own 29.4% of Trumpf."
1397,Vincent McMahon,76.0,2200.0,2022,4,Sports,entertainment,United States,Connecticut,Greenwich,United States,,True,M,1945-08-24,,1.0,"Fairfield County, CT",,"Vince McMahon is chairman and CEO of entertainment company World Wrestling Entertainment (WWE), which hauls in nearly $1 billion in annual revenue.
A third generation wrestling promoter, McMahon grew up in a trailer park in North Carolina and joined his father's small wrestling company in 1972.
McMahon purchased the business 10 years later, then transformed the World Wrestling Federation from a regional operation into a global phenomenon.
WWF (now called WWE) went public in 1999; today its programs are broadcast in roughly 150 countries and more than 30 languages. 
His foundation has gifted funds to the Boys &amp; Girls Club of Stamford, Connecticut, and Breast Cancer Alliance.","His wife, Linda, led the Small Business Administration from 2017 to 2019, under President Trump.
In June 2017 President Trump tweeted an edited clip of his 2007 WWE fight with McMahon, in which he tackles the CNN logo instead of McMahon.
McMahon's daughter Stephanie, the chief brand officer for WWE, is married to professional wrestler Paul Levesque, better known as Triple H."
2190,Marvy Finger,86.0,1300.0,2022,4,Real Estate,real estate,United States,Texas,Houston,United States,,True,M,1935-12-08,Entrepreneur,,,2.0,"Sold half his apartment portfolio to Greystar for $2 billion in late 2021. Top of the market?
Owes his success to famously un-zoned Houston, ""the only major city that really has no restrictions to entry. It's certainly allowed me to develop at will.""
In the early 1970s he got financing from Ace Greenberg at Bear Stearns.
Trophy properties include One Park Place in downtown Houston and 500 Crawford, across from Minute Maid Park.
In the 1990s he built 16 projects in partnership with the Harvard University endowment. 
",
728,Howard Schultz,68.0,4000.0,2022,4,Food & Beverage,Starbucks,United States,Washington,Seattle,United States,,True,M,1953-07-19,,2.0,"Seattle-Tacoma-Bellevue, WA",,"Howard Schultz took charge of Starbucks in the 1980s and turned a regional coffee company into one of the world's top brands.
Schultz expanded Starbucks from 11 stores to more than 30,000 worldwide and made it a social hub for many Americans.
In 2018, Schultz stepped down as executive chairman and board member of the company he joined in 1982. He is now chairman emeritus.
Schultz explored a 2020 presidential bid, but said in September 2019 that he would not run because it would risk the re-election of Donald Trump.
The Schultz Family Foundation invests in training and hiring veterans and youths with the goal of hiring 1 million young people by 2021.
Through his VC firm Maveron Capital, Schultz invests in other consumer businesses such as Groupon, Madison Reed, Allbirds and Lucy.","Schultz grew up in a Brooklyn housing project. When he was 7, his dad, a cloth diaper delivery driver, fell on the job; he had no insurance or salary.
The first person in his family to graduate from college, Schultz attended Northern Michigan U. on a football scholarship.
"
1929,Andreas Pohl,57.0,1500.0,2022,4,Finance & Investments,mutual funds,Germany,,Marburg,Germany,,False,M,1964-07-28,,,,,"Andreas Pohl is CEO of Deutsche Vermoegensberatung (DVAG), the leading German company offering mutual funds, consumer insurance and annuities.
His brother Reinfried and he inherited the DVAG empire from their father, Reinfried Pohl Sr., who died in 2014.
The DVAG founder supported a range of schools and organizations in his home city of Marburg, which has led some to refer to it as ""Pohl City.""
The family's holding company, owned 50/50 by the brothers, holds 60% of DVAG, with the remaining 40% held by Generali Deutschland Holding AG.
Andreas grew up in the company, attended openings of new branches with his father as a teenager, then sold insurance and later helped manage DVAG.","He is a vintage car aficionado and occasionally participates in vintage car races.
His daughter Nathalie is one of Germany's best open water swimmers and has won several races around the world."
1818,Vasily Anisimov,70.0,1600.0,2022,4,Metals & Mining,real estate,Russia,,Moscow,Russia,,True,M,1951-09-19,,,,,"Vasily Anisimov's development company Coalco has 37,000 acres of land near Moscow. 
Some of the land is in a high end village called Akulinino where friends of President Vladimir Putin, like billionaire Arkady Rotenberg, have houses.
Anisimov made his first fortune in non-ferrous metals trading. 

Later he became a partner of billionaires Alisher Usmanov and Andrei Skoch, before selling out to move into real estate.  
Since 2010, Anisimov has been head of the Russian Judo Federation; its first vice president is Putin's friend Arkady Rotenberg. ",
778,Michael Milken,75.0,3800.0,2022,4,Finance & Investments,investments,United States,California,Los Angeles,United States,,True,M,1946-07-04,,3.0,"Los Angeles-Long Beach-Santa Ana, CA",,"Mike Milken joined what became investment bank Drexel Burnham Lambert in 1969 and expanded the market for high-yield junk bonds.
He was banned from the securities industry after pleading guilty to securities fraud in 1990. In February 2020, President Trump pardoned him.
Milken chairs the Milken Institute think tank, which produces the annual Milken Global Conference in Los Angeles, the Davos of the West Coast.
Milken has investments in private equity, hedge funds, venture capital and more than one asset management firm.
Milken pledged $10 million to George Washington U in 2014 to fund public health programs. Its school of public health bears the Milken Institute name.","Milken founded what is now called the Prostate Cancer Foundation in 1993 after his own battle with prostate cancer. 
Milken switched majors at U.C. Berkeley from math and science to business after the 1965 Watts riots in Los Angeles, determined to democratize capital access."
2190,Kostyantin Zhevago,48.0,1300.0,2022,4,Metals & Mining,mining,Ukraine,,Kiev,Ukraine,,True,M,1974-01-07,,,,,"Konstyantin Zhevago owns a majority stake in London-listed mining firm Ferrexpo, which declared force majeure during Ukraine war for certain customers. 
Ferrexpo established a $7.5 million humanitarian fund on March 7 to provide housing, free meals, childcare support and medical supplies, among other services. 

Zhevago, a member of Ukraine's parliament from 1998 to 2019, stepped down as the firm's CEO in late 2019 amid an investigation by Ukraine's state prosecutor office. 
 He is wanted for questioning about alleged money laundering and embezzlement at his former bank, Finance & Credit, which went bankrupt in 2015.",Zhevago is an avid soccer fan and owns the FC Vorskla team.
1445,Lau Cho Kun,86.0,2100.0,2022,4,Diversified,"palm oil, property",Malaysia,,"Tawau, Sabah",Malaysia,,False,M,1936-01-10,,,,,"Lau Cho Kun is the largest shareholder in Hap Seng Consolidated, through holding company Gek Poh and investment arm Lei Shing Hong.
The diversified firm's interests include financial services, plantations and property. 
Its plantation division is one of the largest producers of palm oil in Sabah, East Malaysia.
Hap Seng Consolidated has been operating Mercedes-Benz dealerships in Malaysia since 1969.
Privately held Hong Kong-based Lei Shing Hong runs Mercedes-Benz dealerships in Asia and Europe.","Yaw Chee Ming, CEO of Samling Strategic, a fellow rich lister, is his son-in-law.
Lau is the nephew of Lau Gek Poh, the late founder of Gek Poh Holdings."
1645,Rajju Shroff,88.0,1800.0,2022,4,Manufacturing,agrochemicals,India,,Mumbai,India,,True,M,1933-10-20,,,,4.0,"Rajju Shroff is the founder of BSE-listed crop protection company UPL.
After its $4.2 billion acquisition of Arysta LifeSciences in 2018, UPL became one of the top agrochemical companies in the world.
UPL's product range includes insecticides, fungicides and  seeds.
Shroff's older son Jai is the company's chief executive officer and vice chairman.
UPL launched a new unit in 2021 to make natural and biologically derived agricultural inputs and technologies.","The company was started in 1969 to produce red phosphorus for industrial chemicals.
UPL debuted on Forbes Asia's prestigious Fab 50 list in 2017."
267,Jean-Michel Besnier,54.0,8200.0,2022,4,Food & Beverage,cheese,France,,Laval,France,,False,M,1967-06-05,,,,,"Dairy heir Jean-Michel Besnier owns 20.7% of French dairy giant Lactalis, based in his family's ancestral hometown of Laval in western France.
His grandfather founded the company in 1933, and his older brother Emmanuel now runs the firm as CEO and majority shareholder.
Lactalis sells $20 billion of products including President brie, Milkmaid yogurts and Valbreso Feta.
The family also own stakes in Italy's publicly traded Parmalat and Frommageries Bel, the French maker of Baby Bel, La Vache Qui Rit and Boursin. 
The biggest dairy producer in Europe, Lactalis continues to expand internationally in places like China and Southeast Asia.  ",
1929,Meng Qingshan & family,73.0,1500.0,2022,4,Manufacturing,chemicals,China,,Langfang,China,,True,M,1948-11-17,,,,,"Meng Qingshan chairs Meihua Holdings, a China-based chemicals supplier.",
1513,Li Xuhui,53.0,2000.0,2022,4,Food & Beverage,soy sauce,China,,Foshan,China,,True,F,1968-06-15,,,,,"Li Xuhui was a director and vice president of Foshan Haitian Flavouring and Food before she left in 2016.
Li managed Haitian's oyster sauce factory from 1999 to 2010.
Pang Kang and Cheng Xue, chairman and vice chairman of Haitian, are also billionaires.",
171,Anthony Pratt,61.0,11400.0,2022,4,Manufacturing,manufacturing,Australia,,Melbourne,Australia,,False,M,1960-04-11,,,,,"Pratt is the executive chairman of Australia's biggest private company, Visy Asia-Pacific, a packaging and recycling business.
His grandfather started the company in 1948 in Melbourne, and his late father Richard expanded it.
He also owns Atlanta's Pratt Industries, the biggest U.S. manufacturer of corrugated cardboard.
His sisters Heloise Pratt and Fiona Geminder also hold stakes in Visy and are fellow billionaires.",
1238,Chen Qiongxiang,,2500.0,2022,4,Energy,batteries,China,,Ningde,China,,True,F,,,,,,"Chen Qiongxiang's fortune arises from her stake in Contemporary Amperex Technology, a supplier of batteries for electric vehicles founded in 2011.
Contemporary Amperex listed on the Shenzhen Stock Exchange in June 2018.",
1445,Liu Xiucai & family,65.0,2100.0,2022,4,Manufacturing,chemicals,China,,Shanghai,United States,,True,M,1957-03-01,,,,,"Liu Xiucai chairs Cathay Biotech, a Shanghai-headquartered supplier of industrial chemicals. 
Liu worked as a senior researcher at Sandoz before it merged with Ciba-Geigy to become pharma giant Novartis. ",
1579,Alejandro Bulgheroni,77.0,1900.0,2022,4,Energy,oil & gas,Uruguay,,Manantiales,Argentina,,False,M,1944-11-01,,,,,"Bulgheroni and his late brother Carlos (d. Sept. 2016) took over Argentine energy company Bridas Corp., founded by their father, in 1985.
Bridas, now called BS Energy Investments, was created in 1948 to provide parts for the national oil company's pipeline network. 
The Bulgheroni brothers sold a 50% stake in Bridas to China's state overseas oil company, CNOOC, for $3.1 billion in 2011.
In September 2017 they entered into a cash-free agreement with BP to form the largest privately-owned integrated energy company in Argentina.
The combined is called Pan American Energy Group; he serves as chairman.","Bulgheroni owns sustainable wineries in Uruguay, Argentina, Australia, Italy, France and the United States."
1818,Sue Gross,72.0,1600.0,2022,4,Finance & Investments,investments,United States,California,Laguna Beach,United States,,False,F,1950-02-17,,,"Los Angeles-Long Beach-Santa Ana, CA",,"Sue Gross is the ex-wife of PIMCO cofounder and billionaire Bill Gross. The two divorced in 2017 after 32 years of marriage.
Gross got roughly $1.3 billion including a $36 million house in Laguna beach and half of the couple's art collection. 
After the divorce, she sold a Picasso painting for $35 million and purchased a number of properties in Orange County.
In 2017, Sue Gross started her own charitable vehicle, Sue J. Gross Foundation.
Previously the couple had run the William and Sue Gross Family Foundation, which supported Doctors Without Borders, Columbia U. and Duke U.",Gross apparently got custody of two of she and her ex-husband's three cats in their divorce settlement.
822,Peter Kellogg,79.0,3600.0,2022,4,Finance & Investments,investments,United States,New Jersey,Short Hills,United States,,False,M,1942-09-01,,3.0,"New York, NY",,"Peter Kellogg sold brokerage house Spear, Leeds & Kellogg to Goldman Sachs for $6.5 billion in cash and stock in 2000.
Kellogg joined the firm, where his father was a partner, in 1973 and took over several years later. 
Under his leadership, the firm became the first specialist brokerage to control more than 10% of the stocks trading on the New York Stock Exchange.
After selling to Goldman in 2000, Kellogg turned his attention to reinsurance outfit IAT, which he led as CEO until 2015 and still chairs.
Kellogg has donated more than $4 million to the U.S. ski and snowboarding teams.",
2448,Igor Yusufov,65.0,1100.0,2022,4,Energy,oil & gas,Russia,,Moscow,Russia,,True,M,1956-06-12,,,,,"Igor Yusufov is the founder of Energy Corporation, which invests in oil and gas, mining and infrastructure companies.
In the early 1990s, Yusufov was a deputy secretary of Foreign Economic Relations.
From 2001 to 2004, he was the Russian Federation's energy minister.
He also served on the board Russian gas giant Gazprom from 2003 to 2013.",
1196,Xingming Zhu,55.0,2600.0,2022,4,Manufacturing,electrical equipment,China,,Shenzhen,China,,True,M,1967-03-01,,,,,"Zhu Xingming cofounded and chairs Shenzhen Inovance Technology, which makes industrial automation control products.
Inovance went public on the Shenzhen Stock Exchange in 2010; Zhu owns about 13% of the company's stock.
Zhu holds a graduate degree from Yanshan University.",
687,Carlo Fidani,67.0,4200.0,2022,4,Real Estate,real estate,Canada,,Toronto,Canada,Orlando Corporation,False,M,1955-01-01,Chairman,,,,"Carlo Fidani runs Orlando Corp., the Toronto-area real estate company he took over following his father's death in 2000.
The company has interests in construction and development, plus manages some 44 million square feet of industrial, office and commercial space.
His grandfather founded the business as Fidani and Sons in 1948; Carlo took over in 2000 following his father's death.
Fidani was made a Member of the Order of Canada in September 2018, an honor recognizing his achievements and service to the country.","He co-owns the Canadian Tire Motorsport Park, a multi-track motorsport venue in Ontario that he purchased with Canadian racer Ron Fellows. 
Fidani is also a significant supporter of health services in the Toronto area, giving to the Carlo Fidani Peel Regional Cancer Centre in Mississauga."
1818,Clemens Toennies,65.0,1600.0,2022,4,Food & Beverage,meat processing,Germany,,Rheda-WiedenbrÃ¼ck,Germany,,True,M,1956-05-27,,,,,"Clemens Toennies owns 45% of German food industry giant Toennies Lebensmittel, with annual revenue of around $8 billion. His son Maximilian owns 5%.
Operating meat, convenience, ingredients and logistics divisions, the company specializes in pig, sow and beef cattle slaughtering and processing.
Clemens attended butchery college and, in 1971, cofounded the company with his brother, Bernd. 
Bernd died in 1994, at age 42. His son, Robert, now owns 50% of the business, which employs around 16,500 people in facilities in Germany and Denmark.
Clemens fought in court with Robert for several years. In 2017, they settled their dispute over ownership of stakes in the company.","For many years, Clemens presided over pro soccer team FC Schalke 04. He resigned from his post as chairman in June 2020.
Pressure on him had been mounting after racist remarks in 2019, poor team performance on the field, and a Covid-19 outbreak at one of his company's slaughterhouses."
2448,Sergei Kolesnikov,50.0,1100.0,2022,4,Manufacturing,building materials,Russia,,Moscow,Russia,,True,M,1972-02-25,,,,,"Sergei Kolesnikov owns 50% of Technonicol, a global producer of roofing, waterproofing and thermal insulation materials.
He is a managing partner of Technonicol, which owns 53 companies and factories in six countries in Europe and Asia.
Kolesnikov founded the company with his classmate Igor Rybakov in 1993. ","Kolesnikov finances biathlon schools and built two biathlon stadiums. 
Together with colleagues from Technonicol, Kolesnikov participates in sailing competitions."
304,Ashwin Dani & family,79.0,7700.0,2022,4,Manufacturing,paints,India,,Mumbai,India,,False,M,1942-10-24,,,,2.0,"Paints tycoon Ashwin Dani is a nonexecutive director of $3 billion (revenue) Asian Paints, founded by his father and three others in 1942. 
Dani joined the company, now among Asia's biggest paint companies, in 1968. 
In response to the Covid-19 pandemic, Asian Paints introduced hand sanitizers and surface disinfectants. 
 His son Malav sits on the company's board. ",Dani is a yoga practitioner and collects art. 
386,Melanie Perkins,34.0,6500.0,2022,4,Technology,software,Australia,,Sydney,Australia,Canva,True,F,1987-05-13,Entrepreneur,,,,"Melanie Perkins is cofounder and CEO of design software maker Canva, which was valued by private investors at $40 billion in September 2021.
Canva was launched in 2013 by Perkins, now-husband Cliff Obrecht and Cameron Adams in Sydney, Australia, but was met by investor skepticism due to its location.
Like Obrecht, she owns an estimated 18% stake. The couple has pledged to transfer more than 80% of their stake to the Canva Foundation for charitable causes.
Defying the doubts, Canva has attracted 60 million monthly users to its freemium software, with 500,000 teams from companies like Intel and Zoom paying for it.
Canva's software enables the creation of attractive visuals for menus, resumes and Instagram graphics.","Perkins learned kitesurfing in an effort to receive an investment from a group of kiteboard enthusiast venture capitalists, including angel investor Bill Tai."
2448,John Oyler,54.0,1100.0,2022,4,Healthcare,biotech,China,,,United States,,True,M,1968-04-03,,,,,"John Oyler is the CEO and cofounder of Beijing-based biotech outfit BeiGene. He owns about 6% of the publicly traded company.
BeiGene, which was founded in 2010 as a research and development firm, went public on the Nasdaq in 2016 and listed in Hong Kong two years later.
Before he cofounded BeiGene, Oyler helped start and then sell two companies in the U.S. and China.
Telephia, a consumer telecom research firm Oyler founded in 1997, was sold to The Nielsen Co. for $449 million in 2007. 
Oyler's next success came with drug discovery outsourcing company BioDuro, which he founded in 2005 and sold to PPD Inc. for $77 million in 2010.",
1196,Sandeep Engineer,60.0,2600.0,2022,4,Manufacturing,plastic pipes,India,,Ahmedabad,India,,True,M,1961-05-11,,,,,"Chemical engineer Sandeep Engineer, started out working in the pharma industry before launching his own pharma venture in 1987.
A decade later, he latched on to making plastic pipes, convincing India's plumbers about their superiority to metal pipes.

Sales at his company, Astral (formerly Astral Poly Technik), got a boost when Bollywood actor Salman Khan became brand ambassador.
The $430 million (revenue) firm also makes adhesives and sealants.",
